SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
1401,4,3,Suburb,1982,149576.6811
1729,5,1,Rural,2019,171877.0663
2579,2,2,Urban,1997,245276.7339
1161,4,2,Suburb,2003,288571.1272
1201,5,1,Urban,1951,87804.56037
2981,3,2,Rural,1982,267127.0106
1995,5,3,Suburb,1965,221217.7693
1269,3,2,Suburb,1999,218784.633
2886,5,3,Rural,1969,315607.0238
1815,3,3,Urban,2016,217967.9285
2294,4,1,Rural,1994,353343.634
1455,3,3,Urban,1984,187002.9639
2485,4,2,Rural,1978,222855.0833
2750,4,2,Rural,1994,366548.8223
2275,5,2,Rural,1964,259473.2793
2016,4,2,Urban,1952,212440.4224
2725,2,2,Urban,2018,237066.6856
1295,3,3,Urban,1983,158357.6481
2748,5,1,Suburb,2020,255619.9978
1719,4,1,Suburb,1953,190659.435
2772,3,2,Urban,1968,284985.4357
1337,3,3,Urban,1970,214741.2285
1878,2,1,Suburb,1964,128693.0288
2076,3,2,Rural,1966,184051.9827
1791,5,3,Rural,2003,242865.2602
2945,5,1,Urban,1986,295356.7755
1216,4,3,Rural,2003,107868.9321
1763,4,2,Urban,1971,207380.1361
1187,5,3,Suburb,1957,132828.8141
1379,3,1,Urban,1960,84493.69131
1492,3,1,Suburb,2019,53360.86541
2064,2,3,Rural,1958,296199.3496
2180,4,1,Urban,1951,273924.5574
1014,3,3,Urban,1981,204340.7259
2836,3,3,Urban,2000,228582.097
1064,4,2,Suburb,1986,237384.3466
2880,5,2,Rural,1955,312245.868
2862,3,3,Urban,1961,219408.625
1520,2,1,Rural,2003,201334.9416
2367,3,2,Suburb,1995,221413.5776
2152,3,1,Rural,1982,306839.6219
1647,2,3,Urban,1967,126756.3572
2495,5,1,Urban,1987,328702.8347
2086,2,1,Suburb,2008,141074.0284
2162,2,3,Rural,1956,220712.4613
2522,4,2,Urban,1964,319176.8399
1592,3,2,Suburb,1950,245299.2099
1391,5,1,Rural,1995,51154.13113
2698,3,3,Urban,1981,314018.0283
1418,5,3,Suburb,1998,222904.258
1288,2,2,Suburb,1959,115697.7782
1378,4,3,Suburb,1966,140714.7704
2796,2,3,Suburb,1969,178353.1481
2513,3,1,Suburb,2000,280022.0311
1230,4,1,Rural,1971,136418.4808
2017,4,2,Urban,1969,195803.9703
1040,3,2,Rural,2014,98933.43907
2051,5,1,Suburb,1953,185052.5632
1134,4,3,Urban,2003,160764.4394
1200,5,3,Suburb,2014,156394.2735
2863,5,1,Suburb,2000,333464.149
1779,5,1,Urban,1960,211994.3282
1929,4,1,Rural,1976,252779.6909
2056,2,1,Urban,1975,288750.4043
2071,4,3,Rural,1966,185482.0606
1502,2,3,Suburb,1991,119671.3689
1406,4,2,Suburb,1997,148891.4193
2597,2,1,Rural,1982,235810.2236
2751,2,2,Suburb,2010,357765.1172
1804,4,3,Rural,1978,216771.36
1098,5,2,Rural,2012,102580.4984
1683,5,3,Urban,1986,208774.1423
2895,2,3,Suburb,2005,302454.6401
1725,3,2,Urban,1965,208558.7817
2570,3,2,Urban,2005,276434.5399
1960,4,1,Suburb,1991,220786.712
2762,4,3,Urban,1973,354268.4752
1612,4,1,Suburb,2018,142420.9723
2966,3,1,Suburb,1980,299146.5954
2485,5,3,Urban,1960,321647.4527
1642,4,2,Suburb,1951,216976.9081
2792,4,1,Suburb,2020,243179.7034
2028,5,1,Suburb,1984,184210.7736
2241,2,3,Suburb,2011,175779.5682
1502,4,2,Urban,2003,162271.0864
1766,3,2,Rural,2018,240727.0397
1397,3,1,Urban,2000,186900.9464
1870,4,3,Rural,1958,208692.1498
1794,3,1,Rural,1963,114333.6939
1392,5,2,Rural,2005,225281.3242
1206,2,1,Suburb,1983,110852.4526
2038,2,3,Rural,1950,206119.1817
2881,4,1,Suburb,1987,292218.3734
2577,4,2,Suburb,1966,209166.2973
1891,2,3,Suburb,1965,283220.1087
2484,2,3,Urban,1997,354538.8214
2714,4,3,Rural,1999,290954.4918
2598,3,3,Urban,2020,207377.5555
1863,4,3,Suburb,1990,267934.0926
1742,5,1,Urban,1993,235034.8998
2264,4,3,Suburb,1964,246611.8831
1563,4,2,Urban,2010,314867.6516
2020,4,3,Suburb,1999,278092.7571
1095,4,2,Suburb,2001,88443.38397
2923,4,2,Urban,2001,235396.4545
2757,4,2,Suburb,1985,280503.8129
1484,3,2,Rural,1982,273072.3373
2430,4,2,Urban,1994,252666.8483
1230,2,1,Urban,1951,133914.4068
1748,4,2,Suburb,1950,142717.8302
2678,3,2,Urban,2019,266197.0444
2194,5,2,Rural,1996,245433.6945
1540,2,1,Urban,2013,177796.403
2059,4,3,Rural,1967,226582.2743
1524,4,2,Urban,2003,170745.4653
2183,2,1,Rural,1984,194059.3707
2862,4,1,Urban,2008,347187.4093
2722,3,1,Rural,1985,345978.9789
2266,4,3,Suburb,1975,323981.508
2109,5,1,Urban,1994,185909.9016
2819,3,2,Urban,2018,231642.4153
1577,4,2,Rural,1979,181472.0115
1681,5,2,Urban,1982,247683.3818
1556,2,3,Rural,1972,174119.7797
2597,3,1,Suburb,1970,249931.3819
2976,4,2,Rural,2012,352084.0473
2012,4,2,Urban,2019,356256.9103
1645,2,2,Suburb,2017,115738.6024
1795,2,3,Rural,1985,265399.2764
2051,3,2,Rural,1986,205543.4525
2643,3,1,Suburb,1950,248155.8717
2579,3,1,Urban,1975,318796.3968
2363,4,3,Urban,1991,254479.256
2821,4,3,Urban,1989,248782.2169
2981,3,3,Suburb,2002,320922.1762
2354,4,1,Rural,2011,265274.004
2663,2,3,Suburb,1993,283301.9362
2529,5,3,Rural,1985,291195.6713
2371,4,1,Suburb,1953,240277.0098
2496,3,2,Rural,1970,316708.5954
2254,4,3,Rural,1966,267724.6993
1189,2,2,Suburb,1965,52033.75929
2248,3,2,Suburb,1990,157260.9835
2408,5,2,Suburb,2004,349887.3872
2400,3,2,Rural,2006,302581.5244
2306,3,3,Suburb,2015,267740.4347
2981,3,3,Rural,1987,296942.7544
1632,4,3,Rural,2005,211665.6222
1627,5,1,Suburb,1986,240462.6778
1972,2,1,Urban,1999,221900.7731
2768,4,2,Urban,2004,337510.5084
2282,5,1,Rural,1950,351438.5468
2382,5,2,Rural,2014,207718.7412
1709,4,2,Urban,2014,187379.3901
2479,3,3,Rural,1993,325104.8264
2434,5,3,Urban,1961,234064.5137
1648,2,1,Rural,2002,168976.4954
1317,4,3,Rural,2010,72491.39026
2700,5,1,Suburb,1962,397825.3364
2248,2,3,Urban,1991,224680.0524
2842,2,3,Rural,1995,297609.7185
2257,2,1,Urban,1991,211357.5631
1683,2,2,Suburb,1965,191156.3841
1663,4,1,Urban,1993,198444.2855
2998,2,3,Rural,2019,227602.8452
2850,4,2,Urban,1965,227374.5843
2397,2,3,Suburb,1971,311492.2466
2695,2,3,Urban,1984,341035.6518
2631,4,3,Urban,1998,329215.4127
2495,3,2,Urban,2020,189722.895
2256,5,3,Urban,2013,315304.2483
2715,5,1,Rural,1980,229019.4795
2136,4,1,Urban,1950,218041.2171
2853,2,1,Suburb,1974,256367.8643
2520,4,2,Urban,1969,427589.087
1441,2,1,Suburb,1957,161116.8187
1563,4,3,Suburb,2013,182494.886
2291,5,2,Suburb,1965,276165.9051
2533,4,3,Suburb,2004,314516.613
2830,5,3,Rural,1975,272012.2652
2409,5,3,Urban,2014,342249.5423
2410,5,1,Urban,1977,258023.511
2136,4,1,Rural,1995,115459.882
2636,3,2,Urban,2003,240419.9739
2648,4,2,Rural,2003,388951.7892
1951,4,1,Suburb,2021,250119.2129
2104,3,1,Urban,1998,210586.9765
1698,3,3,Suburb,1995,234243.6244
1112,5,1,Urban,1950,69293.96649
1001,2,3,Urban,1993,163837.6824
1641,2,1,Urban,1953,252127.9863
1219,5,3,Suburb,1980,117989.3568
2589,4,1,Rural,1964,313948.4453
1854,2,1,Suburb,1950,254919.2752
2759,4,2,Rural,2021,197521.8272
2248,3,2,Urban,1955,198494.0403
1384,3,3,Urban,1976,152204.7559
2426,5,2,Urban,1975,308529.3077
2661,4,2,Urban,2015,308854.901
2153,5,1,Suburb,1962,246860.55
2076,2,3,Rural,2020,225867.2386
2707,2,2,Rural,1983,249678.2289
1729,2,2,Rural,1982,108636.4752
2695,4,1,Urban,1989,299818.5608
2733,5,1,Suburb,1992,290094.597
2439,5,1,Urban,1956,272077.8727
1246,2,3,Rural,1988,130941.4829
1835,5,1,Suburb,2015,241849.2415
2462,3,3,Suburb,1985,206273.3001
1202,3,1,Urban,2013,155086.4599
2207,3,2,Suburb,1953,169742.8703
1122,3,3,Suburb,1971,148324.4032
1400,5,1,Suburb,2020,184460.0434
1766,3,1,Urban,1953,138095.4799
1293,3,2,Urban,2013,205414.9105
1279,3,2,Suburb,1971,183265.399
2860,3,2,Urban,2011,284616.4673
1883,3,1,Suburb,1989,181947.6429
2633,4,2,Rural,1969,284003.7694
1197,4,2,Rural,1958,90959.78933
1981,3,3,Suburb,2014,198755.1464
2930,3,3,Rural,1972,370459.829
2534,5,3,Rural,1984,348379.2665
1751,3,1,Rural,2008,270704.1541
1143,2,3,Suburb,1963,168931.8286
1608,4,1,Urban,1993,189126.0514
2224,3,2,Suburb,1971,218168.7081
2147,4,1,Suburb,1977,199220.1955
1186,3,1,Urban,2008,129960.0168
2349,2,2,Suburb,1996,281507.745
1463,3,3,Suburb,2017,169378.7848
2372,4,3,Suburb,2019,248599.1077
2794,4,3,Rural,1966,411678.0284
1659,4,2,Suburb,1980,119032.883
1763,5,1,Suburb,1963,230075.0498
1954,4,2,Urban,1998,122604.9562
2955,3,2,Rural,2016,296998.8381
1402,2,2,Rural,1970,109470.1427
2369,2,2,Suburb,1962,246212.1973
2986,3,1,Rural,1999,310583.0759
2534,5,3,Rural,2017,233756.8864
1146,3,3,Urban,1961,100102.2252
2171,4,2,Urban,1997,199324.8407
1863,5,1,Rural,2013,331026.5964
2734,3,2,Urban,1964,231041.3484
2843,5,1,Suburb,1965,333530.0634
1488,2,2,Urban,2021,61092.66123
1928,3,3,Suburb,1999,205778.3124
2959,3,3,Urban,1990,384570.7365
2663,2,2,Rural,1953,339772.9527
1550,5,3,Suburb,1969,186745.1296
1337,2,2,Urban,1957,185559.0802
1871,5,1,Urban,2017,213894.3146
1640,3,1,Suburb,1996,180978.0157
2802,5,1,Urban,1982,243011.5747
2976,5,1,Rural,1954,265075.9482
1472,4,2,Suburb,2017,163315.127
2969,4,3,Rural,1990,384847.0499
1150,4,1,Suburb,2010,190479.1989
2438,2,3,Suburb,1973,204129.2143
2321,2,2,Suburb,1976,249930.1176
2634,4,3,Suburb,1978,372750.4748
1262,3,3,Rural,2016,189650.2011
2787,3,3,Rural,1986,308299.3121
1143,3,2,Suburb,2002,95784.07402
1345,2,2,Suburb,1951,165456.1184
1623,5,2,Rural,1986,236531.6655
2016,2,3,Suburb,2021,212190.7549
2595,4,1,Suburb,2014,298280.3607
1880,5,1,Rural,1997,172765.2509
1001,3,3,Rural,1998,151917.3536
1896,2,1,Rural,1996,196497.0693
2327,2,1,Urban,1953,212603.1702
1253,4,3,Suburb,1952,205827.9137
2675,3,2,Rural,1985,350608.1323
1452,2,1,Suburb,1955,64055.91438
2060,2,2,Urban,1983,202645.4687
2183,5,1,Rural,2001,215636.3058
2014,2,3,Rural,1980,210336.9815
1008,5,3,Suburb,1983,161063.7361
2256,2,2,Suburb,1991,162732.681
2122,3,2,Rural,1997,283190.3906
2682,4,2,Rural,2005,257018.5571
1815,3,2,Suburb,1967,161315.0888
1207,4,3,Suburb,1963,171344.5126
2154,2,3,Rural,2018,301758.3278
1403,3,3,Urban,2007,186512.3187
1151,5,2,Suburb,2019,147961.7399
1053,4,3,Suburb,2005,96856.09323
2143,4,3,Suburb,2002,241976.2417
2696,2,1,Rural,2018,256546.8458
2943,4,1,Rural,2009,245612.125
1627,4,1,Rural,1981,192616.9107
1586,4,2,Suburb,1996,234537.6253
2648,2,2,Suburb,1971,266525.8016
2991,3,3,Urban,1953,411274.8172
2443,2,3,Rural,1974,241617.2738
2445,5,2,Rural,2010,230463.8154
1103,4,1,Suburb,1961,249885.947
2875,4,3,Suburb,1980,320712.1739
1253,3,1,Urban,1950,131536.1636
2250,4,3,Suburb,2010,258681.6486
2135,3,1,Suburb,1955,236721.5797
1509,4,3,Suburb,1971,152417.9594
2496,4,1,Urban,1961,277449.0164
1098,2,1,Urban,1972,97639.6442
1152,2,2,Urban,1984,68864.72804
2884,5,3,Urban,1963,292602.0202
1913,3,1,Urban,1979,163126.6346
2919,5,2,Rural,1971,316117.1566
1877,2,3,Suburb,1965,173591.5158
1337,3,2,Urban,2020,245240.8693
2729,2,1,Urban,1964,299136.081
1821,3,3,Urban,1951,102620.9118
2186,4,1,Urban,1971,174740.9101
2743,5,1,Suburb,2012,303839.7622
1956,5,2,Suburb,1964,255500.6503
2704,3,1,Rural,1968,305226.148
1160,5,3,Suburb,1970,174048.9196
2603,2,2,Urban,1976,240369.9407
1800,5,1,Urban,1968,310732.593
1397,3,1,Urban,1975,125680.0817
2300,5,1,Urban,1998,303253.7531
1815,5,2,Suburb,2007,137931.9766
2939,2,3,Suburb,2016,238181.4446
2527,4,2,Rural,1974,299144.4834
2919,2,1,Suburb,1971,340122.3587
2415,5,2,Urban,1963,230193.1787
2158,5,1,Urban,1958,300494.8966
2218,4,2,Suburb,1971,267560.2688
1400,4,1,Rural,1964,173748.309
1639,2,2,Rural,1989,198112.8732
2056,4,1,Suburb,2014,237224.4282
1687,2,1,Suburb,2002,130383.6498
1459,3,2,Suburb,1980,248587.2901
1954,5,2,Urban,1959,268826.741
2906,4,1,Suburb,1983,307426.1376
1469,3,3,Suburb,1986,224293.9722
2398,3,1,Rural,1962,335992.3788
2045,2,1,Rural,1987,265649.0843
1749,2,3,Urban,1994,218960.6472
2693,4,1,Rural,1959,257512.5585
1037,2,2,Rural,1971,86619.30466
1229,3,2,Suburb,2010,48780.11213
2388,3,3,Rural,1987,274896.2616
1562,5,1,Rural,2007,181237.8317
1437,3,2,Rural,1975,49052.37096
2799,4,1,Rural,1998,182649.2383
2306,5,3,Rural,2011,347942.0053
1026,2,2,Rural,1958,31998.01568
1225,5,3,Rural,2009,181103.2635
2300,3,1,Rural,1979,172216.0833
1797,4,1,Urban,1970,273262.8517
2632,2,1,Suburb,1999,306987.0516
1283,2,3,Rural,1978,172933.772
1878,3,2,Suburb,1989,159685.4467
1959,4,3,Rural,1966,244916.4658
2504,3,2,Urban,2017,250927.6416
1452,3,1,Rural,2013,86276.33242
2019,4,1,Urban,1972,209029.9486
2852,3,3,Rural,1956,267060.0308
1815,4,2,Rural,1983,158867.8199
1658,4,1,Suburb,1973,200254.7187
2539,3,1,Rural,1956,197039.3949
1546,3,3,Rural,1957,251427.1554
2215,5,3,Urban,1952,298798.8575
2072,2,2,Suburb,1953,209615.3838
2535,2,1,Rural,2012,343628.2296
1016,4,2,Suburb,2015,86742.69816
2195,5,2,Suburb,2018,260504.8307
2243,4,2,Rural,1959,267664.3312
1157,5,3,Rural,2012,87137.89045
1476,4,2,Rural,1986,217625.4427
2069,2,2,Rural,2021,179619.6811
2396,5,2,Rural,1952,304272.5428
1517,3,3,Suburb,1978,180446.9392
1098,3,3,Urban,2011,96810.15544
2915,2,1,Suburb,1982,293526.3479
2768,5,3,Rural,2009,333027.9076
2060,3,3,Suburb,1991,261561.3314
1279,3,2,Urban,2011,60826.53009
2372,3,1,Suburb,1955,278442.1635
1496,2,3,Rural,1998,123828.1036
1301,4,1,Rural,2021,88586.0573
1180,3,2,Rural,1992,134443.8975
1606,3,3,Urban,1958,136925.1708
2122,4,2,Rural,2000,234164.891
1699,3,2,Rural,1963,150304.5494
1992,5,1,Rural,1973,240050.496
2139,3,3,Rural,2021,277542.7035
1190,4,1,Suburb,1982,197241.2518
1252,2,2,Rural,1978,101805.5981
1980,2,3,Suburb,1951,197810.6223
1927,5,2,Urban,2001,172279.0649
2184,3,1,Suburb,1994,205236.2839
2279,3,1,Suburb,1987,206408.5332
2346,4,2,Suburb,1994,279439.9844
1127,4,1,Suburb,1965,127174.7226
1017,5,1,Suburb,1996,127458.039
2816,5,2,Suburb,1974,356063.8292
2758,3,3,Urban,2006,344787.6194
1565,3,3,Rural,1968,153282.8516
1569,5,3,Urban,1987,23125.99668
2346,2,2,Suburb,2015,297939.7232
2895,2,2,Suburb,1956,348536.6136
1685,2,1,Suburb,1969,145096.7349
2815,2,3,Urban,1953,316533.4622
1625,5,1,Suburb,1964,273166.56
2311,4,2,Urban,2013,343467.4139
2966,2,3,Suburb,2006,258865.9613
1853,5,2,Suburb,1999,197763.0653
2686,2,1,Urban,1966,196431.1618
1961,3,1,Urban,1965,192271.5714
2662,2,2,Urban,1952,252805.9847
1154,5,2,Urban,1994,20075.48609
1489,3,3,Suburb,1993,225167.5423
2409,3,2,Suburb,2011,333108.7015
1784,2,1,Rural,1958,253462.8412
2127,2,1,Suburb,2009,273921.2443
2952,3,2,Suburb,2006,230500.4506
2416,4,2,Suburb,2010,361696.081
2834,5,3,Suburb,2013,319789.8466
1245,5,1,Suburb,1966,174765.2567
2199,5,1,Rural,2007,300718.8166
2062,5,1,Urban,1996,261326.8509
2500,5,2,Suburb,2001,363561.9094
2705,3,1,Suburb,1967,251734.589
1758,5,2,Urban,1986,280965.895
1537,4,3,Urban,2019,110904.3256
2890,4,2,Rural,1966,335743.3089
2841,2,3,Rural,1952,276296.3369
1920,2,3,Rural,1982,222212.1321
1407,2,2,Urban,1956,221697.8157
1524,2,3,Suburb,1951,223582.3849
1827,3,2,Urban,1983,206212.7926
2529,4,1,Suburb,1953,214945.5948
1902,3,2,Urban,1998,152143.2966
2848,4,3,Urban,1966,376480.3015
1035,3,3,Urban,2020,135298.4457
1684,4,1,Urban,1961,160232.4203
1019,2,2,Suburb,1993,70855.37072
1320,4,1,Suburb,1998,183736.727
2799,2,3,Suburb,2018,388318.7211
1511,4,2,Suburb,1966,165073.7156
1399,3,3,Rural,1987,213210.0434
1653,5,2,Rural,2005,140382.8723
1971,4,1,Urban,2010,260495.0847
2906,3,1,Suburb,1981,385304.7145
1470,5,3,Suburb,2005,144254.7959
2166,3,1,Urban,1972,277469.1074
2115,5,1,Urban,2015,252361.1315
2377,2,3,Urban,2016,256202.9962
1833,4,3,Suburb,1954,139343.7275
2823,3,3,Suburb,1972,246154.6873
1726,4,2,Suburb,2000,218372.9302
2982,2,3,Rural,1974,309839.6921
1853,2,2,Urban,1973,219293.0106
1050,4,3,Suburb,1979,203482.1889
2688,3,2,Urban,2000,220036.0305
2721,3,3,Rural,1979,365466.4528
1574,3,2,Urban,2021,125013.1451
2213,4,1,Suburb,1995,234126.8057
2148,3,3,Urban,2006,213331.2023
1149,3,3,Suburb,1978,91677.17431
1313,5,2,Rural,2011,262434.5217
1569,3,1,Rural,1978,184359.5381
2365,2,1,Suburb,1986,323820.0406
1304,3,2,Rural,1989,97808.59675
2715,4,3,Urban,2004,298075.9524
1681,4,1,Rural,1975,128702.1148
1837,3,3,Rural,1976,129730.1974
2806,4,2,Rural,2000,326637.4753
2077,4,3,Rural,1971,241442.1438
2002,3,1,Suburb,2014,259033.5696
1443,5,2,Rural,1987,299103.3398
1612,5,1,Suburb,1950,127303.8574
1992,5,3,Suburb,1964,210318.9029
1263,5,3,Suburb,1960,188936.218
2076,2,2,Urban,2005,185380.1293
2595,3,1,Urban,1987,294176.3398
2003,4,1,Suburb,2003,198735.7641
2643,4,1,Urban,1972,268807.8484
1004,3,2,Rural,1986,65228.45166
2126,4,3,Urban,2000,262087.5685
2219,2,3,Rural,2010,255398.7488
1773,5,3,Urban,1971,200902.121
1876,3,1,Suburb,2015,237628.6476
1991,4,2,Suburb,2004,201135.2861
1883,2,1,Urban,2016,327202.4144
2373,4,2,Rural,1975,313572.8518
1046,2,1,Rural,1987,161735.0896
1866,4,2,Suburb,1999,135186.9409
1822,5,1,Rural,1972,206442.2525
1935,3,1,Suburb,2002,176508.4751
2843,5,2,Urban,1988,295895.5581
1655,5,3,Urban,1972,215023.3833
1268,4,3,Urban,2015,145269.2037
1369,5,2,Suburb,1977,156946.2389
1635,3,2,Urban,2009,246606.2725
2129,2,3,Rural,2016,194238.864
2693,2,1,Suburb,1959,281991.702
2682,4,3,Rural,1983,258071.8801
1656,3,2,Urban,1950,149913.0106
1119,3,1,Suburb,1986,118571.5243
1830,2,2,Suburb,2017,258490.7949
2810,2,3,Suburb,2020,237178.0369
2627,5,1,Urban,2016,283416.6118
2081,4,3,Suburb,2007,234682.711
2974,2,3,Suburb,1965,236267.0623
2369,2,3,Urban,2013,220216.9713
1740,3,1,Urban,1977,231805.2696
2497,3,3,Rural,2019,293908.2937
1116,3,1,Rural,1977,148823.0463
2853,2,3,Rural,1967,317837.8614
1790,4,3,Suburb,1992,311154.7319
2150,5,2,Urban,1963,256000.1606
2416,4,3,Rural,1971,215724.195
2931,2,1,Rural,1963,249356.7367
2012,5,2,Urban,1968,223423.0823
2664,4,1,Suburb,1968,272864.801
2081,2,3,Urban,1988,202344.3256
1633,4,2,Urban,1982,228849.2336
1512,2,2,Urban,1987,240983.242
2774,3,2,Suburb,1981,289649.3015
1801,4,1,Rural,1963,144200.2547
2119,3,2,Rural,1972,257560.4742
2661,3,2,Suburb,1975,273196.6207
2141,5,1,Urban,1999,235009.5775
1559,5,1,Urban,2018,166047.6906
2624,4,1,Rural,2004,258771.5962
1487,2,3,Rural,2016,96385.91828
2260,5,1,Urban,1969,246585.67
2908,5,1,Suburb,2005,304455.9919
1896,3,2,Rural,1964,171955.1048
2295,3,3,Suburb,2008,175119.2094
2212,2,2,Suburb,2006,273977.796
1703,5,1,Urban,1980,133660.821
2470,5,1,Suburb,2018,276587.1871
1580,2,2,Urban,1963,199265.5522
1789,5,3,Suburb,1971,133679.2662
1860,4,3,Rural,1996,187289.1844
1246,4,2,Urban,1991,195380.2522
2986,2,1,Urban,2020,290467.5266
2099,3,3,Urban,2010,125993.0727
1153,2,3,Urban,1954,164864.4865
2679,4,2,Rural,1973,271131.696
2458,5,3,Urban,1963,272401.7092
1996,5,1,Urban,1997,214623.9275
2109,3,2,Rural,1964,270288.2488
1696,3,3,Suburb,1977,263720.9017
2308,4,1,Rural,1982,343733.4613
2997,3,1,Suburb,1996,386973.6452
2243,2,2,Urban,2000,232462.4527
2092,4,2,Urban,2005,246644.1789
2070,5,1,Suburb,2015,136921.115
2008,5,1,Urban,2003,265746.5808
1093,5,3,Rural,1950,118967.6919
2773,3,3,Rural,1962,225775.6619
1957,4,3,Rural,2004,291978.295
2011,3,3,Suburb,1993,261283.9964
1452,2,3,Suburb,2003,240942.6385
2227,4,2,Suburb,2016,216203.9181
1911,3,3,Urban,1998,132355.8167
1217,5,3,Suburb,2019,228079.1135
1473,5,3,Rural,1958,148489.5122
1431,2,1,Suburb,1992,150462.6418
1340,2,3,Rural,2014,226047.2322
1550,2,2,Urban,2013,115706.6153
2635,5,1,Suburb,1988,270138.5971
2312,3,1,Rural,1986,200589.0288
2277,5,3,Rural,1975,258865.2603
2757,5,1,Suburb,1983,296494.3701
1356,5,3,Urban,1985,122490.162
1022,3,3,Suburb,1995,115202.9372
2785,5,3,Urban,2013,341637.3346
1521,2,2,Rural,1975,202351.3572
2781,2,1,Suburb,1959,303105.4891
2860,2,1,Suburb,1980,311183.9181
2123,2,1,Rural,2007,149038.0072
1801,5,1,Urban,1977,270736.4958
2203,5,1,Suburb,1984,263493.2456
2246,5,3,Suburb,2006,324176.9426
2929,2,3,Suburb,1969,337269.8823
1761,3,3,Urban,1985,249808.3089
2682,4,2,Rural,2012,240370.0119
1441,4,2,Rural,2019,316311.3312
2631,4,2,Rural,1993,301656.1735
1768,3,2,Urban,1962,245823.7901
2015,5,1,Urban,1982,260271.792
